TIMESTAMP,MILLIBAR MACCHINA,TEMPERATURA CASSETTO 1,POTENZA CASSETTO 1,TEMPERATURA CASSETTO 2,POTENZA CASSETTO 2,TEMPERATURA CASSETTO 3,POTENZA CASSETTO 3,TEMPERATURA CASSETTO 4,POTENZA CASSETTO 4,TEMPERATURA CASSETTO 5,POTENZA CASSETTO 5,TEMPERATURA CASSETTO 6,POTENZA CASSETTO 6
0,2026-03-20 13:19:11,932,125,,123,,131,,121,,135,,193,
10,2026-03-20 13:19:22,931,121,,129,,129,,120,,134,,196,
21,2026-03-20 13:19:33,930,114,,135,,132,,121,,134,,195,
32,2026-03-20 13:19:43,932,110,,147,,132,,121,,135,,192,
42,2026-03-20 13:19:54,932,117,,130,,132,,123,,133,,197,
53,2026-03-20 13:20:05,932,114,,137,,132,,122,,134,,197,
64,2026-03-20 13:20:16,935,101,,143,,136,,125,,135,,202,
75,2026-03-20 13:20:26,929,104,,126,,134,,126,,134,,203,
85,2026-03-20 13:20:37,933,114,,133,,131,,126,,135,,203,
96,2026-03-20 13:20:48,936,120,,126,,134,,127,,135,,205,
107,2026-03-20 13:20:59,936,116,,136,,132,,127,,135,,203,
