TIMESTAMP,MILLIBAR MACCHINA,TEMPERATURA CASSETTO 1,POTENZA CASSETTO 1,TEMPERATURA CASSETTO 2,POTENZA CASSETTO 2,TEMPERATURA CASSETTO 3,POTENZA CASSETTO 3,TEMPERATURA CASSETTO 4,POTENZA CASSETTO 4,TEMPERATURA CASSETTO 5,POTENZA CASSETTO 5,TEMPERATURA CASSETTO 6,POTENZA CASSETTO 6
0,2026-03-31 12:37:14,0,500,,800,,0,,0,,0,,0,
90,2026-03-31 12:37:18,0,500,,800,,0,,0,,0,,0,
14,2026-03-31 12:37:29,0,500,,800,,0,,0,,0,,0,
112,2026-03-31 12:37:40,0,500,,800,,0,,0,,0,,0,
35,2026-03-31 12:37:50,0,500,,800,,0,,0,,0,,0,
133,2026-03-31 12:38:01,0,500,,800,,0,,0,,0,,0,
57,2026-03-31 12:38:12,0,500,,800,,0,,0,,0,,0,
155,2026-03-31 12:38:23,0,500,,800,,0,,0,,0,,0,
79,2026-03-31 12:38:34,0,500,,800,,0,,0,,0,,0,
176,2026-03-31 12:38:44,0,500,,800,,0,,0,,0,,0,
100,2026-03-31 12:38:55,0,500,,800,,0,,0,,0,,0,
198,2026-03-31 12:39:06,0,500,,800,,0,,0,,0,,0,
122,2026-03-31 12:39:17,0,500,,800,,0,,0,,0,,0,
