TIMESTAMP,MILLIBAR MACCHINA,TEMPERATURA CASSETTO 1,POTENZA CASSETTO 1,TEMPERATURA CASSETTO 2,POTENZA CASSETTO 2,TEMPERATURA CASSETTO 3,POTENZA CASSETTO 3,TEMPERATURA CASSETTO 4,POTENZA CASSETTO 4,TEMPERATURA CASSETTO 5,POTENZA CASSETTO 5,TEMPERATURA CASSETTO 6,POTENZA CASSETTO 6
0,2026-03-27 10:00:56,600,109,300,116,,124,,117,,119,,118,
10,2026-03-27 10:01:06,600,109,,115,,124,,117,,118,,120,
20,2026-03-27 10:01:16,600,110,,116,,124,,119,,119,,118,
30,2026-03-27 10:01:27,600,110,,115,,124,,118,,117,,118,
40,2026-03-27 10:01:37,600,110,,115,,124,,118,,118,,119,
50,2026-03-27 10:01:47,600,109,,115,,124,,118,,117,,119,
60,2026-03-27 10:01:57,600,109,,115,,124,,118,,119,,117,
71,2026-03-27 10:02:07,600,110,,116,,124,,118,,119,,119,
80,2026-03-27 10:02:17,600,109,,116,,124,,118,,118,,118,
90,2026-03-27 10:02:27,600,109,,115,,124,,119,,118,,120,
103,2026-03-27 10:02:39,600,109,,115,,124,,119,,118,,118,
