TIMESTAMP,MILLIBAR MACCHINA,TEMPERATURA CASSETTO 1,POTENZA CASSETTO 1,TEMPERATURA CASSETTO 2,POTENZA CASSETTO 2,TEMPERATURA CASSETTO 3,POTENZA CASSETTO 3,TEMPERATURA CASSETTO 4,POTENZA CASSETTO 4,TEMPERATURA CASSETTO 5,POTENZA CASSETTO 5,TEMPERATURA CASSETTO 6,POTENZA CASSETTO 6
0,2026-03-27 10:00:56,600,109,,116,,124,,117,,119,,118,
10,2026-03-27 10:01:06,600,109,,115,,124,,117,,118,,120,
20,2026-03-27 10:01:16,600,110,,116,,124,,119,,119,,118,
30,2026-03-27 10:01:27,600,110,,115,,124,,118,,117,,118,
40,2026-03-27 10:01:37,600,110,,115,,124,,118,,118,,119,
50,2026-03-27 10:01:47,600,109,,115,,124,,118,,117,,119,
60,2026-03-27 10:01:57,600,109,,115,,124,,118,,119,,117,
71,2026-03-27 10:02:07,600,110,,116,,124,,118,,119,,119,
80,2026-03-27 10:02:17,600,109,,116,,124,,118,,118,,118,
90,2026-03-27 10:02:27,600,109,,115,,124,,119,,118,,120,
103,2026-03-27 10:02:39,600,109,,115,,124,,119,,118,,118,
113,2026-03-27 10:02:50,600,109,,115,,124,,119,,117,,118,
123,2026-03-27 10:03:00,600,109,,116,,124,,118,,118,,119,
136,2026-03-27 10:03:12,600,109,,115,,124,,119,,118,,119,
146,2026-03-27 10:03:22,600,109,,115,,124,,119,,118,,118,
156,2026-03-27 10:03:33,600,109,,115,,124,,119,,119,,118,
169,2026-03-27 10:03:45,600,110,,116,,124,,119,,119,,119,
179,2026-03-27 10:03:55,600,109,,116,,124,,119,,118,,119,
189,2026-03-27 10:04:05,600,110,,115,,124,,119,,118,,119,
202,2026-03-27 10:04:18,600,110,,115,,124,,119,,118,,119,
212,2026-03-27 10:04:28,600,110,,116,,124,,119,,118,,119,
227,2026-03-27 10:04:43,600,109,,116,,125,,119,,119,,118,
